country_id,country,last_update
1,Afghanistan,9:29 AM
2,Algeria,10:29 AM
3,American Samoa,11:29 AM
4,Angola,12:29 PM
5,Anguilla,1:29 PM
6,Argentina,2:29 PM
7,Armenia,3:29 PM
8,Australia,4:29 PM
9,Austria,5:29 PM
10,Azerbaijan,6:29 PM
11,Bahrain,7:29 PM
12,Bangladesh,8:29 PM
13,Belarus,9:29 PM
14,Bolivia,10:29 PM
15,Brazil,11:29 PM
16,Brunei,12:29 AM
17,Bulgaria,1:29 AM
18,Cambodia,2:29 AM
19,Cameroon,3:29 AM
20,Canada,4:29 AM
21,Chad,5:29 AM
22,Chile,6:29 AM
23,China,7:29 AM
24,Colombia,8:29 AM
25,"Congo, The Democratic Republic of the",9:29 AM
26,Czech Republic,10:29 AM
27,Dominican Republic,11:29 AM
28,Ecuador,12:29 PM
29,Egypt,1:29 PM
30,Estonia,2:29 PM
31,Ethiopia,3:29 PM
32,Faroe Islands,4:29 PM
33,Finland,5:29 PM
34,France,6:29 PM
35,French Guiana,7:29 PM
36,French Polynesia,8:29 PM
37,Gambia,9:29 PM
38,Germany,10:29 PM
39,Greece,11:29 PM
40,Greenland,12:29 AM
41,Holy See (Vatican City State),1:29 AM
42,Hong Kong,2:29 AM
43,Hungary,3:29 AM
44,India,4:29 AM
45,Indonesia,5:29 AM
46,Iran,6:29 AM
47,Iraq,7:29 AM
48,Israel,8:29 AM
49,Italy,9:29 AM
50,Japan,10:29 AM
51,Kazakstan,11:29 AM
52,Kenya,12:29 PM
53,Kuwait,1:29 PM
54,Latvia,2:29 PM
55,Liechtenstein,3:29 PM
56,Lithuania,4:29 PM
57,Madagascar,5:29 PM
58,Malawi,6:29 PM
59,Malaysia,7:29 PM
60,Mexico,8:29 PM
61,Moldova,9:29 PM
62,Morocco,10:29 PM
63,Mozambique,11:29 PM
64,Myanmar,12:29 AM
65,Nauru,1:29 AM
66,Nepal,2:29 AM
67,Netherlands,3:29 AM
68,New Zealand,4:29 AM
69,Nigeria,5:29 AM
70,North Korea,6:29 AM
71,Oman,7:29 AM
72,Pakistan,8:29 AM
73,Paraguay,9:29 AM
74,Peru,10:29 AM
75,Philippines,11:29 AM
76,Poland,12:29 PM
77,Puerto Rico,1:29 PM
78,Romania,2:29 PM
79,Runion,3:29 PM
80,Russian Federation,4:29 PM
81,Saint Vincent and the Grenadines,5:29 PM
82,Saudi Arabia,6:29 PM
83,Senegal,7:29 PM
84,Slovakia,8:29 PM
85,South Africa,9:29 PM
86,South Korea,10:29 PM
87,Spain,11:29 PM
88,Sri Lanka,12:29 AM
89,Sudan,1:29 AM
90,Sweden,2:29 AM
91,Switzerland,3:29 AM
92,Taiwan,4:29 AM
93,Tanzania,5:29 AM
94,Thailand,6:29 AM
95,Tonga,7:29 AM
96,Tunisia,8:29 AM
97,Turkey,9:29 AM
98,Turkmenistan,10:29 AM
99,Tuvalu,11:29 AM
100,Ukraine,12:29 PM
101,United Arab Emirates,1:29 PM
102,United Kingdom,2:29 PM
103,United States,3:29 PM
104,Venezuela,4:29 PM
105,Vietnam,5:29 PM
106,"Virgin Islands, U.S.",6:29 PM
107,Yemen,7:29 PM
108,Yugoslavia,8:29 PM
109,Zambia,9:29 PM
